order_id,customer_name,gender,category,product,quantity,unit_price,discount,order_date,sales_channel,region,phone,revenue,year,month,day,weekday
1000.0,riya,female,clothing,jacket,1.0,199.0,10.0,2024-01-25,wholesale,unknown,9876543210,-1791.0,2024,1,25,Thursday
1001.0,sam,female,groceries,rice,4.0,499.0,0.0,2024-10-26,retail,unknown,,1996.0,2024,10,26,Saturday
1006.0,sam,female,groceries,bananas,2.0,199.0,0.0,2024-09-16,online,north,9876543210,398.0,2024,9,16,Monday
1008.0,riya,,furniture,chair,4.0,199.0,5.0,2025-01-09,online,unknown,,-3184.0,2025,1,9,Thursday
1011.0,wei,female,groceries,bananas,5.0,1500.0,0.0,2024-03-19,online,north,9876543119,7500.0,2024,3,19,Tuesday
1015.0,ali,female,groceries,bananas,5.0,199.0,0.0,2025-03-16,retail,south,9876543210,995.0,2025,3,16,Sunday
1016.0,emily,female,electronics,mobile,1.0,199.0,5.0,2024-07-25,retail,east,,-796.0,2024,7,25,Thursday
1021.0,ali,male,groceries,rice,4.0,999.0,10.0,2024-02-11,online,north,9876543210,-35964.0,2024,2,11,Sunday
1022.0,john,male,electronics,laptop,5.0,199.0,0.0,2024-03-26,online,east,9876543210,995.0,2024,3,26,Tuesday
1023.0,wei,female,clothing,jacket,4.0,1500.0,0.0,2024-10-30,online,east,,6000.0,2024,10,30,Wednesday
1025.0,chen,male,clothing,shirt,2.0,199.0,0.0,2024-12-26,online,unknown,9988776655,398.0,2024,12,26,Thursday
1026.0,wei,male,clothing,shirt,1.0,999.0,0.0,2025-03-30,wholesale,west,9876543119,999.0,2025,3,30,Sunday
1029.0,ali,,electronics,laptop,5.0,999.0,0.0,2024-10-26,wholesale,unknown,9876543119,4995.0,2024,10,26,Saturday
1030.0,emily,male,furniture,sofa,4.0,1500.0,5.0,2025-01-25,online,east,9988776655,-24000.0,2025,1,25,Saturday
1032.0,emily,male,clothing,jacket,2.0,999.0,5.0,2024-03-20,online,north,9876543119,-7992.0,2024,3,20,Wednesday
